bin,left,right,count,accuracy,confidence,gap
0,0.0,0.006167304449857026,374,0.026737967914438502,0.0033685522463851422,0.02336941566805336
1,0.006167304449857026,0.01211416262018126,373,0.029490616621983913,0.009046610012810246,0.020444006609173667
2,0.01211416262018126,0.01878645234885995,373,0.024128686327077747,0.015280543941999562,0.008848142385078184
3,0.01878645234885995,0.029082428873044273,374,0.026737967914438502,0.023718050305770712,0.00301991760866779
4,0.029082428873044273,0.04693739636838879,373,0.024128686327077747,0.03761078682446724,0.013482100497389491
5,0.04693739636838879,0.078997769275719,373,0.03485254691689008,0.06068573685547915,0.025833189938589067
6,0.078997769275719,0.17295042238192712,373,0.040214477211796246,0.11587686396721368,0.07566238675541744
7,0.17295042238192712,0.8481965533456599,374,0.4946524064171123,0.4992302641758655,0.004577857758753245
8,0.8481965533456599,0.9335864574182561,373,0.9544235924932976,0.9013479473948727,0.053075645098424884
9,0.9335864574182561,0.9625042524942028,373,0.9731903485254692,0.9504304450678215,0.022759903457647668
10,0.9625042524942028,0.9753355080183033,373,0.9597855227882037,0.9693068957781951,0.009521372989991339
11,0.9753355080183033,0.9840607370696891,374,0.9759358288770054,0.9799298812281845,0.0039940523511791115
12,0.9840607370696891,0.9900440824570069,373,0.9785522788203753,0.987098613822111,0.008546335001735628
13,0.9900440824570069,0.9945173600946962,373,0.9597855227882037,0.9922157939704277,0.03243027118222397
14,0.9945173600946962,1.0,374,0.946524064171123,0.996573704996686,0.05004964082556296
