bin,left,right,count,accuracy,confidence,gap
0,0.0,0.06666666666666667,2125,0.02776470588235294,0.022347756705523022,0.0054169491768299195
1,0.06666666666666667,0.13333333333333333,378,0.03439153439153439,0.0921530272442289,0.05776149285269451
2,0.13333333333333333,0.2,154,0.05194805194805195,0.1616726260096031,0.10972457406155116
3,0.2,0.26666666666666666,72,0.027777777777777776,0.22830567354346176,0.20052789576568397
4,0.26666666666666666,0.3333333333333333,31,0.12903225806451613,0.30194441806598166,0.17291216000146553
5,0.3333333333333333,0.4,22,0.13636363636363635,0.3638037183404501,0.22744008197681376
6,0.4,0.4666666666666667,16,0.3125,0.42620572311389116,0.11370572311389116
7,0.4666666666666667,0.5333333333333333,17,0.4117647058823529,0.5039935003486928,0.09222879446633991
8,0.5333333333333333,0.6,8,0.5,0.5750224453513176,0.07502244535131763
9,0.6,0.6666666666666666,25,0.84,0.6353246626398158,0.20467533736018417
10,0.6666666666666666,0.7333333333333333,28,0.9642857142857143,0.7086219706668875,0.2556637436188268
11,0.7333333333333333,0.8,44,1.0,0.7663312012656774,0.23366879873432256
12,0.8,0.8666666666666667,114,0.956140350877193,0.8388316692300153,0.11730868164717767
13,0.8666666666666667,0.9333333333333333,320,0.95625,0.9072670966008498,0.048982903399150235
14,0.9333333333333333,1.0,2246,0.9657168299198575,0.9791449299364533,0.013428100016595779
